276007	794905	463049	443980	605482	
75146	119169	158422	32253	173705	
45954	487287	314198	915702	86773	
618040	104881	324260	915389	479718	
180961	255133	49277	17038	635769	
827339	909130	390180	481849	885925	
252687	757619	359925	331611	817474	
28390	406521	552519	739468	54649	
342099	785185	541699	656060	379983	
244347	889975	100739	184483	868348	
580221	365207	739356	245373	934901	
54220	135695	523126	444163	617307	
88146	312726	54022	447835	644100	
487371	92100	666496	102873	831331	
720908	444735	295612	325591	163778	
675358	185813	669629	775860	370059	
600960	35176	351142	19411	833205	
349026	73394	31883	871915	133432	
265066	575936	445921	318851	86754	
705897	805985	731510	435376	908622	
625824	219268	32452	537311	160734	
748886	275652	346310	481498	667388	
716133	698333	318439	130258	717507	
214627	95159	406776	246274	582949	
539971	511103	221868	601768	445829	
861278	370648	314797	655771	421899	
839294	897470	640930	487622	497765	
417539	299491	389292	379725	780752	
119663	158841	542068	53978	841754	
875450	268368	552788	345209	130517	
198720	501055	257495	420351	718698	
319199	344612	705221	249872	616258	
190104	152149	576712	830797	255646	
690352	864212	554900	142627	306920	
398635	814946	81636	556578	868687	
539265	495011	752930	155036	456095	
883211	353519	573026	756581	773633	
354707	138764	734121	122912	388399	
29474	312779	156423	605949	759451	
411833	359284	686646	29716	117787	
609441	44227	932496	690840	216680	
864166	293088	711455	680079	447887	
783425	242385	801169	419434	614842	
253898	390017	753369	603894	512692	
757643	633131	441346	913829	854956	
263780	388645	830115	566302	34237	
10885	238726	78227	6364	929330	
294670	486405	838293	622000	782360	
349164	84521	640620	766208	503718	
318445	635981	893498	687689	855750	
85285	508315	551865	526394	485128	
85916	789938	489648	915794	35335	
523648	926443	273824	217750	548682	
819029	128296	650963	720306	366171	
496306	685345	450455	752801	130648	
17157	134230	766393	526530	821682	
301238	611579	392981	852866	200956	
493984	1765	606769	46615	533435	
641867	186139	522861	531567	403652	
687418	413579	147823	401364	749760	
513758	513545	114200	27196	329330	
244612	597008	79435	626880	186522	
516992	927881	413976	525848	459843	
614695	82815	77483	837340	129194	
610681	542190	315096	749417	689632	
334623	115931	719087	482210	133170	
531830	58951	646479	261906	638802	
591684	122393	298794	286994	749036	
101191	803749	356012	514930	392581	
431730	745500	475159	508977	645823	
220228	735533	803889	151199	164046	
172616	485586	832632	891466	583671	
28785	102392	258497	291139	364061	
513174	882586	486217	427843	785455	
851128	528797	652188	823015	659602	
107752	317729	84198	198786	442581	
345896	34890	793989	765660	185852	
21018	1260	287313	853413	892489	
486859	498074	610756	745119	788976	
37800	321277	350658	139892	748883	
199096	606895	893556	851047	492894	
232253	574674	426498	316214	389336	
868842	277986	423989	725814	106629	
225716	362708	107652	128905	831996	
616017	615527	9165	842648	39742	
797905	496324	913674	211546	635979	
341652	26517	858750	851083	877328	
414627	146320	131097	840888	78409	
136308	388825	356158	560060	730514	
462551	401652	156205	186078	146432	
604077	417970	377834	613005	323602	
417339	90005	819689	10108	301314	
134763	904416	327595	56496	818482	
820798	86998	580677	567770	927649	
658850	703842	379457	630883	879777	
725847	156417	344412	881815	895151	
490607	164987	376104	484317	393868	
315581	517531	483636	751145	527403	
400826	885672	110914	728184	5151	
929159	228077	644805	188932	795610	
635437	847545	178547	630770	157523	
121308	419600	866596	81595	917290	
824730	571966	698153	816709	672158	
155004	748166	252672	638403	562294	
395950	102212	510949	506627	446271	
131976	498770	290223	776544	303577	
701709	91076	214105	880019	337721	
924283	64310	757084	853862	145669	
353470	741575	333510	114606	237380	
68651	269373	48529	321086	523651	
610586	716800	625627	737411	286410	
687773	869150	401055	40980	324789	
320507	742452	415628	534375	685454	
753113	137754	365640	189292	54599	
511072	542525	412050	460457	273006	
649193	528871	158254	313597	465832	
681669	540058	798507	923171	340452	
700793	673927	825477	717723	330782	
213249	101214	689109	244753	251464	
53659	613741	388981	419062	802796	
443344	929897	24417	855157	69449	
850078	183445	598083	71316	496805	
679790	752748	99846	541281	355014	
56174	305057	644816	881414	85763	
38582	710539	186740	727454	18275	
437968	780876	631779	826712	815813	
113670	885931	424805	690742	804071	
494017	603804	50499	707975	674883	
163179	450749	106726	815681	55013	
461503	871618	912725	169302	432127	
614363	760539	205649	800867	167089	
776579	854710	563840	87453	360517	
442637	200887	309432	483317	507504	
729378	40318	174291	779641	748056	
848937	558695	814680	18646	437359	
485568	96024	924852	461276	817982	
419963	691515	257616	625375	555365	
424468	81050	89170	604184	168266	
449450	662696	921808	758645	208996	
492296	551007	249077	666350	9743	
613009	194383	184313	490672	765684	
237548	592116	861472	225383	116375	
358549	645109	807653	615928	886360	
42113	656272	583285	683938	323439	
751314	196372	49118	352218	570892	
257877	844277	737774	122830	189722	
363392	351714	383868	547469	458261	
765428	784780	113360	689883	626038	
782391	664307	887023	269139	343218	
452478	311016	62473	98746	57937	
385675	465935	806964	50668	434028	
440840	861201	894180	794489	599906	
146886	220865	14603	146629	384209	
472627	911820	784864	585751	280798	
473885	47237	8088	423891	316139	
903962	492244	243030	29418	590753	
853623	30969	672564	723570	81400	
169575	780285	5584	126739	253870	
605253	826280	474498	235731	35892	
858470	708122	563588	706317	909748	
460261	796077	572860	468113	835844	
888762	51170	391071	194776	80351	
44808	664274	111083	333247	66939	
745139	502585	463100	366598	245199	
716733	587727	134462	254214	823221	
170118	728559	210438	349581	113971	
736061	809605	909811	371904	893593	
808638	876542	7746	262693	687193	
640753	860156	414450	367711	809278	
481152	175833	927738	560127	158307	
235921	339843	745797	370146	209932	
248113	156139	1474	74427	505483	
668100	810251	930964	257007	798031	
503652	681520	737556	511162	7196	
487732	767790	483227	518057	198484	
908380	62192	926973	899102	622083	
148263	198006	577801	509935	567915	
787497	757811	339930	404846	832001	
461288	135930	321348	455235	392700	
182362	21871	137203	535793	148908	
697055	86508	916461	796157	604328	
177928	383633	282395	720776	345718	
520353	868802	543487	161138	57832	
